endTime,artistName,trackName,msPlayed
2019-10-19 20:20,Alan Gogoll,Friendly Elephants (Remastered),71093
2019-10-19 21:19,Alan Gogoll,Kindling (Remastered),140898
2019-10-19 21:22,Alan Gogoll,Owl's Friend (Remastered),158545
2019-10-19 21:25,Alan Gogoll,Grizzly Caterpillar (Study Version),182880
2019-10-19 21:27,Alan Gogoll,Blossom,113275
2019-10-19 21:30,Alan Gogoll,Echidna's Parade (Remastered),192168
2019-10-19 21:31,Alan Gogoll,Massive Mammal (Remastered),83563
2019-10-19 21:32,Alan Gogoll,Eloquent Frog (Remastered),52607
2019-10-19 21:34,Alan Gogoll,Mulberry Mouse (Remastered),126037
2019-10-19 21:35,Alan Gogoll,Button on Brown (Remastered),64765
2019-10-19 21:37,Alan Gogoll,Whimsical Toad (Remastered),127988
2019-10-19 21:39,Alan Gogoll,Bellflower Burrows (Remastered),141734
2019-10-19 21:43,Alan Gogoll,Bell's Harmonic (Remastered),225419
2019-10-19 21:45,Alan Gogoll,One Line Fox (Remastered),139226
2019-10-19 21:45,Alan Gogoll,Grizzly Caterpillar (Remastered),8886
2019-10-19 21:46,Alan Gogoll,One Line Fox (Remastered),50197
2019-10-19 21:47,Lummus Park,Ocean And 17th,12693
2019-10-19 21:47,Alpha Brain Waves,Reading Music,7583
2019-10-19 21:51,Edamame,Mango Pulp (feat. Ian Ewing),9962
2019-10-19 21:51,Edamame,Mango Pulp (feat. Ian Ewing),265371
2019-10-19 21:51,Admiral,Trunk Popped,12961
2019-10-19 21:53,Admiral,Trunk Popped,108970
2019-10-19 21:55,Dylan Sitts,Off The Cuff,130200
2019-10-19 21:59,MNDLSS,I'm The Only One You Want (Instrumental Version),201081
2019-10-19 22:00,Dog Barks,Inpeaching,88648
2019-10-19 22:03,Ms Bronx,House on the Hill,159831
2019-10-19 22:05,[ocean jams],Throne,152910
2019-10-19 22:07,Austeria,The Shimmering,99156
2019-10-19 22:09,[ocean jams],Fumes,138556
2019-10-19 22:12,Damma Beatz,Rich Coast,202062
2019-10-19 22:13,Ballpoint,Pigeons,17349
2019-10-19 22:54,Fuzhou,What I Said,22671
2019-10-19 22:57,Luwaks,Into The Blue,170928
2019-10-19 23:00,Sugar Blizz,I Just Wanna Love Ya (Instrumental Version),192184
2019-10-19 23:01,Galavant Cross,Needless to Say,21382
2019-10-19 23:02,Sugar Blizz,I Just Wanna Love Ya (Instrumental Version),64736
2019-10-19 23:05,Galavant Cross,Needless to Say,187105
2019-10-19 23:08,Alex Froot,Then I Go,192384
2019-10-19 23:10,Alex Froot,Then I Go,12288
2019-10-19 23:10,Ballpoint,Paycheck,102978
2019-10-19 23:11,Ballpoint,Paycheck,67960
2019-10-19 23:14,Ooyy,Too Fast,170659
2019-10-19 23:17,Extrana,Intergalaxy,216434
2019-10-19 23:19,Push N' Glide,Candy Floss,140531
2019-10-19 23:20,Push N' Glide,Candy Floss,5663
2019-10-19 23:20,Extrana,Intergalaxy,8373
2019-10-19 23:21,Sickly,Upside Down,59584
2019-10-19 23:23,Timothy Infinite,Suave,152867
2019-10-19 23:26,Homebody,Raspberry,180465
2019-10-19 23:29,Mentalism,Clouds,147548
2019-10-19 23:32,Type Beat,Juice WRLD - Instrumental,192000
2019-10-19 23:35,Hermantra,Wonder,193714
2019-10-19 23:49,_91nova,Mercurius,151545
2019-10-19 23:51,Milton Breech,BFF,161644
2019-10-19 23:54,Cushy,Wavelength,155925
2019-10-19 23:56,Fractite,Nights,153600
2019-10-20 00:06,Tamsui,Memories,259156
2019-10-20 00:09,Friends With Animals,Rotations,175444
2019-10-20 00:18,AGST,Recess,356840
2019-10-20 00:21,Ensidya,Spirals,156529
2019-10-20 00:23,Mad Q,Grace,143322
2019-10-20 00:23,Homebody,Prix,3299
2019-10-20 00:23,ToMC Beatz,Deep Side Ride,1482
2019-10-20 00:25,Homebody,Prix,142528
2019-10-20 00:28,ToMC Beatz,Deep Side Ride,144330
2019-10-20 00:31,Ooyy,Pink Mirrors,172140
2019-10-20 00:45,Ballpoint,Spectra,129098
2019-10-20 00:48,Luwaks,Golden Rules,200126
2019-10-20 00:50,Majk Jutbo,Paco,139807
2019-10-20 03:17,Soulja Boy,Pretty Boy Swag,8684
2019-10-20 03:17,Trippie Redd,Dark Knight Dummo (Feat. Travis Scott),2647
2019-10-20 03:17,Shelley FKA DRAM,Broccoli,225205
2019-10-20 03:17,The Weeknd,The Hills,2995
2019-10-20 03:17,Fetty Wap,My Way (feat. Monty),0
2019-10-20 03:21,Post Malone,White Iverson,256533
2019-10-20 03:22,Wiz Khalifa,Ass Drop,2600
2019-10-20 03:22,Youngbloodz,Snap Yo Fingers,5131
2019-10-20 03:22,DJ Chose,Everywhere I Go,46892
2019-10-20 03:22,Drake,Back To Back,1184
2019-10-20 03:22,Drake,Energy,1068
2019-10-20 03:22,A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",1648
2019-10-20 03:23,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),0
2019-10-20 03:23,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",19504
2019-10-20 03:23,Drake,Star67,255
2019-10-20 03:23,Kendrick Lamar,m.A.A.d city,6292
2019-10-20 07:44,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",291163
2019-10-20 07:47,Childish Gambino,Bonfire,177836
2019-10-20 18:17,Chance the Rapper,Cocoa Butter Kisses,89386
2019-10-20 18:20,Rhye,Open,217053
2019-10-20 18:24,Lake Street Dive,Good Kisser,218493
2019-10-20 18:26,Kacey Musgraves,Butterflies,86440
2019-10-20 18:28,Aquilo,Thin,123456
2019-10-20 18:31,Quinn XCII,When I Die,4612
2019-10-20 18:31,ODIE,Story,193201
2019-10-20 18:32,Post Malone,Goodbyes (feat. Young Thug),1130
2019-10-20 18:32,Kid Quill,Daily Routine,57130
2019-10-20 18:32,BANKS,Gimme,1045
2019-10-20 18:32,Tame Impala,Past Life,1258
2019-10-20 18:32,Rihanna,Love On The Brain,618
2019-10-20 18:35,Rex Orange County,Corduroy Dreams,206974
2019-10-20 18:36,Kim Mono,Blossom,199326
2019-10-20 18:39,Alan Gogoll,Poems & Postcards (Remastered),15957
